Dataset,Scheme,ACC_mean,ACC_std,NMI_mean,NMI_std,ARI_mean,ARI_std
Cora,HPNC-IM,64.88921713441654,1.4602808500638973,46.03498538929169,1.3127063262851884,37.82449205794303,0.8159593199600773
Cora,HPNC-DEC,66.12259970457903,1.1504836001241727,47.131735547645334,0.9253728286187743,39.67902077798167,0.8586228897042032
